cpa,aw,lin_speed,acceleration,mass,kinetic_energy,dst
253,40,293.0,-6.5,,,-
256,140,1102.0,21.3,,,-
86,39,101.0,14.7,30000000000000.0,1.5000000000000002e+27,-
246,167,1271.0,-0.4,,,-
49,161,1106.0,3.8,,,-
148,153,312.0,-8.8,73000000000000.0,3.5e+28,-
227,82,392.0,-12.4,,,-
249,71,306.0,7.9,,,-
104,65,479.0,-6.7,,,-
284,28,199.0,-1.6,170000000000000.0,3.4e+28,-
299,29,155.0,1.0,330000000000000.0,4e+28,-
250,90,601.0,-19.0,,,-
267,40,714.0,-5.3,,,-
300,20,134.0,5.9,120000000000000.0,1.1e+28,-
328,158,492.0,-11.0,,,-
158,22,103.0,1.3,76000000000000.0,4.1e+27,-
356,55,174.0,-7.6,52000000000000.0,7.9e+27,-
257,24,363.0,79.7,,,-
281,72,175.0,-3.3,,,-
251,37,292.0,21.3,,,-
97,97,219.0,1.5,,,-
291,23,432.0,-96.3,40000000000000.0,3.7e+28,-
139,83,506.0,4.6,,,-
237,47,335.0,-18.4,37000000000000.0,2.1e+28,-
237,70,75.0,1.6,210000000000000.0,5.9e+27,-
34,61,949.0,-18.8,,,-
268,58,602.0,15.1,,,-
1,24,151.0,2.4,82000000000000.0,9.400000000000001e+27,-
191,58,240.0,-28.9,110000000000000.0,3.1e+28,-
335,44,302.0,-7.8,,,-
277,173,498.0,10.2,,,-
41,87,360.0,4.2,,,-
72,35,245.0,4.9,,,-
30,48,197.0,2.9,20000000000000.0,3.8e+27,-
187,119,229.0,0.5,,,-
360,360,1750.0,-22.5,,,-
188,76,292.0,11.8,,,-
94,52,258.0,-3.5,,,-
276,26,158.0,1.3,200000000000000.0,2.5000000000000002e+28,-
340,159,650.0,21.2,,,-
263,63,151.0,-8.8,140000000000000.0,1.6e+28,-
360,360,2125.0,-63.1,,,-
127,30,325.0,-0.3,,,-
233,67,308.0,13.4,,,-
360,360,721.0,-2.1,,,-
256,30,213.0,5.9,19000000000000.0,4.3e+27,-
307,30,217.0,6.7,22000000000000.0,5.2e+27,-
261,21,286.0,1.1,750000000000.0,3.1e+26,-
303,96,253.0,11.8,,,-
272,10,339.0,-23.0,13000000000000.0,7.200000000000001e+27,-
292,138,419.0,2.6,,,-
216,137,465.0,-2.7,,,-
256,49,297.0,-2.4,,,-
360,360,594.0,-34.7,,,-
347,22,356.0,-1.7,,,-
70,32,188.0,2.7,220000000000000.0,3.9e+28,-
75,56,369.0,5.6,,,-
298,186,894.0,-10.1,,,-
61,28,287.0,9.0,,,-
289,58,220.0,4.6,,,-
54,74,783.0,0.4,,,-
230,38,463.0,24.5,,,-
63,30,296.0,67.9,39000000000000.0,1.7e+28,-
360,360,900.0,39.7,,,-
318,71,578.0,9.8,,,-
278,35,600.0,1.8,,,-
56,27,401.0,-17.7,,,-
206,33,546.0,-3.6,,,-
